OID_,Status,Score,X,Y,USER_Ward,USER_Precinct,USER_Location2,USER_Location3,Match_addr,USER_City,USER_State,USER_ZipCode,USER_Voting_Roo,USER_HP_Entrance,shape_wkt,POINT_X,POINT_Y
42,M,99.680000000000007,-71.078659878614673,42.349248371249644,4.000000000000000,2,COPLEY SQUARE LIBRARY ,700 BOYLSTON STREET,"700 Boylston Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN GUASTAVINO ROOM OF THE MCKIM BUILDING,VOTERS ENTER FROM DARTMOUTH STREET,POINT (-71.078659878999986 42.349248371000044),-71.078659878999986,42.349248371000044
43,M,100.000000000000000,-71.076101218851335,42.346797335123085,4.000000000000000,3,TENT CITY COMMUNITY ROOM ,130 DARTMOUTH STREET,"130 Dartmouth Street, #3, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE YARMOUTH STREET IN REAR OF BUILDING,POINT (-71.076101218999952 42.346797335000076),-71.076101218999952,42.346797335000076
44,M,99.670000000000002,-71.079381225201942,42.340137326316977,4.000000000000000,4,FREDERICK DOUGLASS APARTMENTS ,755 TREMONT STREET,"755 Tremont Street, Boston, Massachusetts, 02118",BOSTON,MA,02118,VOTE IN COMMUNITY ROOM,,POINT (-71.079381224999963 42.340137326000047),-71.079381224999963,42.340137326000047
45,M,99.719999999999999,-71.084171063771549,42.342627715478955,4.000000000000000,5,SYMPHONY PLAZA EAST  ,334 MASSACHUSETTS AVENUE,"334 Massachusetts Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTE IN COMMUNITY ROOM,,POINT (-71.084171063999975 42.342627715000049),-71.084171063999975,42.342627715000049
46,M,99.709999999999994,-71.087853233836526,42.342056321139466,4.000000000000000,7,FENWAY CENTER , 77 SAINT STEPHEN STREET,"77 Saint Stephen Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE,POINT (-71.087853233999965 42.34205632100003),-71.087853233999965,42.342056321000030
47,M,99.709999999999994,-71.087853233836526,42.342056321139466,4.000000000000000,6,FENWAY CENTER , 77 SAINT STEPHEN STREET,"77 Saint Stephen Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,,HP ENTRANCE RIGHT OF THE MAIN ENTRANCE,POINT (-71.087853233999965 42.34205632100003),-71.087853233999965,42.342056321000030
48,M,99.719999999999999,-71.084674229419178,42.342287996943242,4.000000000000000,8,SYMPHONY PLAZA WEST  ,333 MASSACHUSETTS AVENUE,"333 Massachusetts Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTE IN COMMUNITY ROOM,,POINT (-71.084674228999972 42.342287997000028),-71.084674228999972,42.342287997000028
49,M,99.659999999999997,-71.094193892131656,42.335513575158785,4.000000000000000,9,WENTWORTH INSTITUTE ANNEX CENTRAL BUILDING ,550 PARKER STREET,"550 Parker Street, Roxbury Crossing, Massachusetts, 02120",BOSTON,MA,02120,VOTE IN CASELLA GALLERY,HP ENTRANCE LEFT OF MAIN ENTRANCE,POINT (-71.094193891999964 42.33551357500005),-71.094193891999964,42.335513575000050
50,M,99.409999999999997,-71.101229326380988,42.338928991155200,4.000000000000000,10,SIMMONS UNIVERSITY  PARK SCIENCE BUILDING ,6 AVENUE LOUIS PASTEUR,"6 Avenue Louis Pasteur, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTE IN LOBBY,,POINT (-71.101229325999952 42.338928991000046),-71.101229325999952,42.338928991000046
51,M,99.409999999999997,-71.094203447501272,42.339590742410905,4.000000000000000,12,MUSEUM OF FINE ARTS ,465 HUNTINGTON AVENUE,"465 Huntington Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,,,POINT (-71.094203447999973 42.339590742000041),-71.094203447999973,42.339590742000041
52,M,99.409999999999997,-71.094203447501272,42.339590742410905,4.000000000000000,11,MUSEUM OF FINE ARTS ,465 HUNTINGTON AVENUE,"465 Huntington Avenue, Boston, Massachusetts, 02115",BOSTON,MA,02115,,,POINT (-71.094203447999973 42.339590742000041),-71.094203447999973,42.339590742000041
53,M,99.670000000000002,-71.071388158514807,42.344716360021721,5.000000000000000,1,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE,POINT (-71.07138815899998 42.344716360000064),-71.071388158999980,42.344716360000064
54,M,99.659999999999997,-71.097541205164760,42.343362347382765,5.000000000000000,2,BOSTON TEMPLE SEVENTHDAY ADVENTIST CHURCH ,105 JERSEY STREET,"105 Jersey Street, Boston, Massachusetts, 02215",BOSTON,MA,02215,VOTE IN POWERY HALL,VOTER ENTRANCE RIGHT SIDE OF BUILDING THROUGH PARKING LOT ON PETERBOROUGH STREET,POINT (-71.09754120499997 42.343362347000038),-71.097541204999970,42.343362347000038
55,M,99.640000000000001,-71.063750065427158,42.358309921044082,5.000000000000000,3,STATE HOUSE , 24 BEACON STREET,"24 Beacon Street, Boston, Massachusetts, 02133",BOSTON,MA,02133, VOTE IN HERAING ROOM B1 IN BASEMENT,VOTER ENTRANCE ON BOWDOIN STREET THROUGH ASHBURTON PARK DOOR # 16,POINT (-71.063750064999965 42.358309921000057),-71.063750064999965,42.358309921000057
56,M,99.659999999999997,-71.072401195332588,42.352607335128170,5.000000000000000,6,EMMANUEL EPISCOPAL CHURCH ,15 NEWBURY STREET,"15 Newbury Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN COMMUNITY ROOM,VOTER ENTRANCE DOOR TO THE RIGHT CLOSEST TO  ARLINGTON STREET,POINT (-71.072401194999941 42.352607335000073),-71.072401194999941,42.352607335000073
57,M,99.709999999999994,-71.070911228224134,42.357857340182107,5.000000000000000,5,HILL HOUSE COMMUNITY CENTER ,127 MOUNT VERNON STREET,"127 Mount Vernon Street, Boston, Massachusetts, 02108",BOSTON,MA,02108,VOTE IN COMMUNITY ROOM (INSIDE FIRE DOORS),,POINT (-71.070911227999943 42.357857340000066),-71.070911227999943,42.357857340000066
58,M,99.680000000000007,-71.078321165907340,42.350127339526125,5.000000000000000,7,OLD SOUTH CHURCH ,645 BOYLSTON STREET,"645 Boylston Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN GORDON CHAPEL,HP ENTRANCE MAIN ENTRANCE,POINT (-71.078321165999967 42.350127340000029),-71.078321165999967,42.350127340000029
59,M,99.680000000000007,-71.078659878614673,42.349248371249644,5.000000000000000,8,COPLEY SQUARE LIBRARY ,700 BOYLSTON STREET,"700 Boylston Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,VOTE IN GUASTAVINO ROOM OF THE MCKIM BUILDING,VOTERS ENTER FROM DARTMOUTH STREET,POINT (-71.078659878999986 42.349248371000044),-71.078659878999986,42.349248371000044
60,M,99.680000000000007,-71.086391178465632,42.346539340143352,5.000000000000000,9,SAINT CECILIA PARISH , 18 BELVIDERE STREET,"18 Belvidere Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTER ENTRANCE UPSTAIRS ON BELVIDERE STREET HP ENTRANCE GROUND LEVEL GLASS DOORS,,POINT (-71.086391177999985 42.346539340000049),-71.086391177999985,42.346539340000049
61,M,99.689999999999998,-71.065001148295124,42.361537330952245,5.000000000000000,4,WEST END LIBRARY ,151 CAMBRIDGE STREET,"151 Cambridge Street, Boston, Massachusetts, 02114",BOSTON,MA,02114,VOTE IN COMMUNITY ROOM,,POINT (-71.065001147999965 42.361537331000079),-71.065001147999965,42.361537331000079
62,M,100.000000000000000,-71.096940893259344,42.344659656446737,5.000000000000000,12,FENWAY COMMUNITY CENTER ,1282 BOYLSTON STREET,"1282 Boylston Street, #12, Boston, Massachusetts, 02215",BOSTON,MA,02215,VOTE IN COMMUNITY ROOM,VOTERS ENTER FROM JERSEY STREET,POINT (-71.096940892999953 42.344659656000033),-71.096940892999953,42.344659656000033
63,M,99.430000000000007,-71.070911228224134,42.357857340182107,5.000000000000000,11,HILL HOUSE COMMUNITY CENTER ,127 MOUNT VERNON STREET,"127 Mount Vernon Street, Boston, Massachusetts, 02108",BOSTON,MA,02108,VOTE IN COMMUNITY ROOM (INSIDE FIRE DOORS),,POINT (-71.070911227999943 42.357857340000066),-71.070911227999943,42.357857340000066
64,M,99.349999999999994,-71.071388158514807,42.344716360021721,5.000000000000000,13,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE,POINT (-71.07138815899998 42.344716360000064),-71.071388158999980,42.344716360000064
65,M,99.349999999999994,-71.071388158514807,42.344716360021721,5.000000000000000,14,CYCLORAMA , 539 TREMONT STREET,"539 Tremont Street, Boston, Massachusetts, 02116",BOSTON,MA,02116,,HP ENTRANCE TO THE RIGHT OF THE MAIN ENTRANCE,POINT (-71.07138815899998 42.344716360000064),-71.071388158999980,42.344716360000064
66,M,99.379999999999995,-71.086391178465632,42.346539340143352,5.000000000000000,15,SAINT CECILIA PARISH , 18 BELVIDERE STREET,"18 Belvidere Street, Boston, Massachusetts, 02115",BOSTON,MA,02115,VOTER ENTRANCEUPSTAIRS ON BELVIDERE STREET HP ENTRANCE GROUND LEVEL GLASS DOORS,,POINT (-71.086391177999985 42.346539340000049),-71.086391177999985,42.346539340000049
67,M,99.579999999999998,-71.052151774546203,42.338034558267339,6.000000000000000,1,JAMES F CONDON ELEMENTARY SCHOOL ,200 D STREET,"200 D Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,,POINT (-71.05215177499997 42.338034558000061),-71.052151774999970,42.338034558000061
68,M,99.579999999999998,-71.052151774546203,42.338034558267339,6.000000000000000,2,JAMES F CONDON ELEMENTARY SCHOOL ,200 D STREET,"200 D Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,,POINT (-71.05215177499997 42.338034558000061),-71.052151774999970,42.338034558000061
69,M,99.579999999999998,-71.052151774546203,42.338034558267339,6.000000000000000,3,JAMES F CONDON ELEMENTARY SCHOOL ,200 D STREET,"200 D Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN CAFETERIA,,POINT (-71.05215177499997 42.338034558000061),-71.052151774999970,42.338034558000061
70,M,99.310000000000002,-71.097001242962207,42.350347322574976,5.000000000000000,10,BOSTON UNIVERSITY KILACHAND HALL,91 BAY STATE ROAD,"91 Bay State Road, Boston, Massachusetts, 02215",BOSTON,MA,02215,VOTE IN ROOM 101 KILACHAND COMMONS,,POINT (-71.097001242999966 42.350347323000051),-71.097001242999966,42.350347323000051
71,M,99.700000000000003,-71.047312231290761,42.335018833323858,6.000000000000000,4,JULIE'S FAMILY LEARNING PROGRAM ,133 DORCHESTER STREET,"133 Dorchester Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN MULTIPURPOSE ROOM,VOTERS ENTRANCE AROUND THE CORNER ON WEST FOURTH STREET,POINT (-71.047312230999978 42.335018833000049),-71.047312230999978,42.335018833000049
72,M,99.579999999999998,-71.034891172794104,42.333557322776670,6.000000000000000,6,MONSIGNOR JOHN T POWERS ELDERLY HOUSING ,120 L STREET,"120 L Street, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN HALLWAY,VOTERS USE MAIN ENTRANCE,POINT (-71.034891172999949 42.333557323000036),-71.034891172999949,42.333557323000036
73,M,99.659999999999997,-71.038715164660815,42.335793279267762,6.000000000000000,5,SOUTH BOSTON LIBRARY ,646 EAST BROADWAY,"646 East Broadway, South Boston, Massachusetts, 02127",BOSTON,MA,02127,VOTE IN MEETING ROOM,,POINT (-71.038715164999985 42.335793279000029),-71.038715164999985,42.335793279000029
